delivery_id,order_id,expected_date,delivery_date,delivery_status,delay_days
D000001,O000002,2023-04-11,2023-04-11,On-Time,0
D000002,O000003,2023-07-12,2023-07-12,On-Time,0
D000003,O000004,2023-12-22,2023-12-25,Delayed,3
D000004,O000005,2023-04-20,2023-04-20,On-Time,0
D000005,O000006,2023-07-13,2023-07-13,On-Time,0
D000006,O000008,2023-04-26,2023-04-26,On-Time,0
D000007,O000009,2023-07-08,2023-07-08,On-Time,0
D000008,O000011,2023-11-14,2023-11-14,On-Time,0
D000009,O000013,2023-12-25,2023-12-25,On-Time,0
D000010,O000014,2023-03-06,2023-03-08,Delayed,2
D000011,O000015,2023-12-15,2023-12-15,On-Time,0
D000012,O000016,2023-02-22,2023-02-22,On-Time,0
D000013,O000018,2023-01-02,2023-01-02,On-Time,0
D000014,O000020,2023-05-01,2023-05-01,On-Time,0
D000015,O000022,2023-01-06,2023-01-10,Delayed,4
D000016,O000023,2023-01-03,2023-01-03,On-Time,0
D000017,O000024,2023-03-03,2023-03-03,On-Time,0
D000018,O000026,2023-01-17,2023-01-17,On-Time,0
D000019,O000027,2023-12-27,2023-12-27,On-Time,0
D000020,O000028,2023-12-14,2023-12-14,On-Time,0
D000021,O000029,2023-07-01,2023-07-04,Delayed,3
D000022,O000030,2023-04-25,2023-04-27,Delayed,2
D000023,O000031,2023-03-30,2023-03-30,On-Time,0
D000024,O000032,2023-08-16,2023-08-16,On-Time,0
D000025,O000033,2023-02-05,2023-02-05,On-Time,0
D000026,O000034,2023-06-15,2023-06-15,On-Time,0
D000027,O000035,2023-10-04,2023-10-04,On-Time,0
D000028,O000038,2023-11-13,2023-11-13,On-Time,0
D000029,O000039,2023-04-08,2023-04-08,On-Time,0
D000030,O000040,2023-07-19,2023-07-21,Delayed,2
D000031,O000041,2023-03-05,2023-03-05,On-Time,0
D000032,O000042,2023-06-27,2023-06-27,On-Time,0
D000033,O000043,2023-03-25,2023-03-25,On-Time,0
D000034,O000044,2023-07-13,2023-07-17,Delayed,4
D000035,O000045,2023-01-28,2023-01-28,On-Time,0
D000036,O000046,2023-07-02,2023-07-02,On-Time,0
D000037,O000047,2023-06-30,2023-06-30,On-Time,0
D000038,O000048,2023-12-27,2023-12-27,On-Time,0
D000039,O000049,2023-11-05,2023-11-05,On-Time,0
D000040,O000051,2023-07-07,2023-07-07,On-Time,0
D000041,O000052,2023-08-19,2023-08-19,On-Time,0
D000042,O000055,2023-08-24,2023-08-24,On-Time,0
D000043,O000056,2023-07-13,2023-07-13,On-Time,0
D000044,O000057,2023-11-13,2023-11-13,On-Time,0
D000045,O000058,2023-04-19,2023-04-19,On-Time,0
D000046,O000059,2023-09-21,2023-09-21,On-Time,0
D000047,O000060,2023-04-19,2023-04-19,On-Time,0
D000048,O000061,2023-04-20,2023-04-20,On-Time,0
D000049,O000063,2023-10-20,2023-10-23,Delayed,3
D000050,O000064,2023-07-26,2023-07-26,On-Time,0
D000051,O000067,2023-09-25,2023-09-25,On-Time,0
D000052,O000068,2023-08-18,2023-08-18,On-Time,0
D000053,O000070,2023-07-21,2023-07-25,Delayed,4
D000054,O000071,2023-11-21,2023-11-24,Delayed,3
D000055,O000072,2023-05-04,2023-05-04,On-Time,0
D000056,O000073,2023-07-04,2023-07-04,On-Time,0
D000057,O000074,2023-01-14,2023-01-14,On-Time,0
D000058,O000075,2023-01-15,2023-01-15,On-Time,0
D000059,O000077,2023-10-23,2023-10-27,Delayed,4
D000060,O000078,2023-06-10,2023-06-11,Delayed,1
D000061,O000079,2023-03-04,2023-03-04,On-Time,0
D000062,O000080,2023-10-06,2023-10-06,On-Time,0
D000063,O000081,2023-09-26,2023-09-26,On-Time,0
D000064,O000082,2023-02-03,2023-02-03,On-Time,0
D000065,O000083,2023-12-31,2023-12-31,On-Time,0
D000066,O000084,2023-07-12,2023-07-12,On-Time,0
D000067,O000085,2023-10-10,2023-10-10,On-Time,0
D000068,O000086,2023-02-12,2023-02-12,On-Time,0
D000069,O000087,2023-03-18,2023-03-18,On-Time,0
D000070,O000088,2023-12-30,2023-12-31,Delayed,1
D000071,O000089,2023-02-11,2023-02-13,Delayed,2
D000072,O000090,2023-05-29,2023-05-29,On-Time,0
D000073,O000092,2023-11-18,2023-11-18,On-Time,0
D000074,O000094,2023-01-23,2023-01-23,On-Time,0
D000075,O000096,2023-01-06,2023-01-06,On-Time,0
D000076,O000097,2024-01-01,2024-01-01,On-Time,0
D000077,O000098,2023-11-25,2023-11-25,On-Time,0
D000078,O000100,2023-05-26,2023-05-27,Delayed,1
D000079,O000101,2023-02-24,2023-02-24,On-Time,0
D000080,O000102,2023-06-06,2023-06-06,On-Time,0
D000081,O000104,2023-01-23,2023-01-23,On-Time,0
D000082,O000105,2023-09-23,2023-09-23,On-Time,0
D000083,O000106,2023-08-17,2023-08-19,Delayed,2
D000084,O000107,2023-02-16,2023-02-16,On-Time,0
D000085,O000108,2023-12-19,2023-12-19,On-Time,0
D000086,O000109,2023-01-04,2023-01-07,Delayed,3
D000087,O000110,2023-03-02,2023-03-02,On-Time,0
D000088,O000114,2023-10-07,2023-10-11,Delayed,4
D000089,O000115,2023-07-16,2023-07-16,On-Time,0
D000090,O000116,2023-12-11,2023-12-11,On-Time,0
D000091,O000117,2023-04-16,2023-04-16,On-Time,0
D000092,O000120,2023-11-25,2023-11-28,Delayed,3
D000093,O000122,2023-07-22,2023-07-22,On-Time,0
D000094,O000125,2023-10-19,2023-10-19,On-Time,0
D000095,O000126,2023-08-27,2023-08-27,On-Time,0
D000096,O000127,2023-10-24,2023-10-24,On-Time,0
D000097,O000128,2023-02-27,2023-02-27,On-Time,0
D000098,O000129,2023-04-21,2023-04-21,On-Time,0
D000099,O000130,2023-11-11,2023-11-11,On-Time,0
D000100,O000133,2023-09-12,2023-09-13,Delayed,1
D000101,O000134,2023-06-24,2023-06-24,On-Time,0
D000102,O000135,2023-07-29,2023-07-29,On-Time,0
D000103,O000136,2023-03-04,2023-03-04,On-Time,0
D000104,O000138,2023-08-21,2023-08-21,On-Time,0
D000105,O000139,2023-12-23,2023-12-23,On-Time,0
D000106,O000140,2023-03-17,2023-03-17,On-Time,0
D000107,O000141,2023-10-21,2023-10-21,On-Time,0
D000108,O000142,2023-10-01,2023-10-04,Delayed,3
D000109,O000143,2023-06-17,2023-06-17,On-Time,0
D000110,O000144,2023-12-04,2023-12-06,Delayed,2
D000111,O000145,2023-08-09,2023-08-09,On-Time,0
D000112,O000147,2023-11-25,2023-11-25,On-Time,0
D000113,O000148,2023-08-17,2023-08-17,On-Time,0
D000114,O000149,2023-08-16,2023-08-16,On-Time,0
D000115,O000150,2023-10-13,2023-10-13,On-Time,0
D000116,O000151,2023-07-02,2023-07-02,On-Time,0
D000117,O000152,2023-12-30,2023-12-30,On-Time,0
D000118,O000153,2023-08-10,2023-08-10,On-Time,0
D000119,O000154,2023-06-14,2023-06-16,Delayed,2
D000120,O000155,2023-06-14,2023-06-14,On-Time,0
D000121,O000156,2023-08-19,2023-08-19,On-Time,0
D000122,O000157,2023-07-13,2023-07-13,On-Time,0
D000123,O000158,2023-01-26,2023-01-26,On-Time,0
D000124,O000159,2023-09-22,2023-09-22,On-Time,0
D000125,O000160,2023-05-29,2023-05-29,On-Time,0
D000126,O000161,2023-10-18,2023-10-18,On-Time,0
D000127,O000162,2023-10-09,2023-10-09,On-Time,0
D000128,O000163,2023-01-13,2023-01-13,On-Time,0
D000129,O000165,2023-12-23,2023-12-23,On-Time,0
D000130,O000166,2023-12-08,2023-12-08,On-Time,0
D000131,O000167,2023-01-22,2023-01-26,Delayed,4
D000132,O000168,2023-09-27,2023-09-29,Delayed,2
D000133,O000169,2023-12-26,2023-12-26,On-Time,0
D000134,O000171,2023-03-29,2023-04-01,Delayed,3
D000135,O000172,2023-04-05,2023-04-05,On-Time,0
D000136,O000173,2023-03-19,2023-03-19,On-Time,0
D000137,O000174,2023-12-02,2023-12-02,On-Time,0
D000138,O000175,2023-03-19,2023-03-19,On-Time,0
D000139,O000176,2023-05-09,2023-05-09,On-Time,0
D000140,O000177,2023-06-20,2023-06-20,On-Time,0
D000141,O000180,2023-09-14,2023-09-14,On-Time,0
D000142,O000181,2023-04-18,2023-04-19,Delayed,1
D000143,O000182,2023-01-09,2023-01-09,On-Time,0
D000144,O000183,2023-01-08,2023-01-08,On-Time,0
D000145,O000184,2023-10-21,2023-10-21,On-Time,0
D000146,O000187,2023-03-13,2023-03-13,On-Time,0
D000147,O000188,2023-08-01,2023-08-04,Delayed,3
D000148,O000189,2023-02-24,2023-02-24,On-Time,0
D000149,O000190,2023-10-08,2023-10-10,Delayed,2
D000150,O000191,2023-01-11,2023-01-11,On-Time,0
D000151,O000193,2023-05-02,2023-05-06,Delayed,4
D000152,O000194,2023-09-05,2023-09-05,On-Time,0
D000153,O000195,2023-07-20,2023-07-20,On-Time,0
D000154,O000196,2023-07-26,2023-07-30,Delayed,4
D000155,O000197,2023-07-12,2023-07-12,On-Time,0
D000156,O000198,2023-04-18,2023-04-18,On-Time,0
D000157,O000199,2023-05-16,2023-05-16,On-Time,0
D000158,O000200,2023-08-23,2023-08-23,On-Time,0
D000159,O000201,2023-11-21,2023-11-21,On-Time,0
D000160,O000202,2023-06-02,2023-06-03,Delayed,1
D000161,O000203,2023-05-04,2023-05-04,On-Time,0
D000162,O000204,2023-05-24,2023-05-24,On-Time,0
D000163,O000206,2023-03-18,2023-03-21,Delayed,3
D000164,O000207,2023-07-15,2023-07-15,On-Time,0
D000165,O000208,2023-08-20,2023-08-20,On-Time,0
D000166,O000210,2023-08-28,2023-08-28,On-Time,0
D000167,O000211,2023-11-20,2023-11-20,On-Time,0
D000168,O000212,2023-08-01,2023-08-01,On-Time,0
D000169,O000213,2023-07-21,2023-07-25,Delayed,4
D000170,O000214,2023-07-16,2023-07-16,On-Time,0
D000171,O000215,2023-08-08,2023-08-08,On-Time,0
D000172,O000216,2023-08-17,2023-08-17,On-Time,0
D000173,O000217,2023-01-21,2023-01-21,On-Time,0
D000174,O000218,2023-10-28,2023-10-28,On-Time,0
D000175,O000219,2023-02-09,2023-02-09,On-Time,0
D000176,O000220,2023-07-09,2023-07-11,Delayed,2
D000177,O000221,2023-11-16,2023-11-19,Delayed,3
D000178,O000222,2023-03-15,2023-03-15,On-Time,0
D000179,O000223,2023-07-24,2023-07-24,On-Time,0
D000180,O000224,2023-10-27,2023-10-27,On-Time,0
D000181,O000225,2023-03-08,2023-03-09,Delayed,1
D000182,O000226,2023-01-03,2023-01-03,On-Time,0
D000183,O000227,2023-06-22,2023-06-22,On-Time,0
D000184,O000228,2023-10-14,2023-10-14,On-Time,0
D000185,O000229,2023-10-27,2023-10-27,On-Time,0
D000186,O000230,2023-06-17,2023-06-19,Delayed,2
D000187,O000231,2023-06-17,2023-06-21,Delayed,4
D000188,O000232,2023-05-02,2023-05-02,On-Time,0
D000189,O000233,2023-09-01,2023-09-03,Delayed,2
D000190,O000234,2023-03-27,2023-03-27,On-Time,0
D000191,O000235,2023-08-14,2023-08-14,On-Time,0
D000192,O000236,2023-07-09,2023-07-09,On-Time,0
D000193,O000237,2023-12-26,2023-12-26,On-Time,0
D000194,O000239,2023-05-16,2023-05-16,On-Time,0
D000195,O000240,2023-02-07,2023-02-07,On-Time,0
D000196,O000242,2023-01-11,2023-01-11,On-Time,0
D000197,O000243,2023-06-19,2023-06-19,On-Time,0
D000198,O000244,2023-04-04,2023-04-04,On-Time,0
D000199,O000246,2023-01-28,2023-01-28,On-Time,0
D000200,O000247,2023-08-27,2023-08-27,On-Time,0
D000201,O000248,2023-10-01,2023-10-01,On-Time,0
D000202,O000249,2023-04-29,2023-05-01,Delayed,2
D000203,O000250,2023-10-13,2023-10-13,On-Time,0
D000204,O000251,2023-02-22,2023-02-22,On-Time,0
D000205,O000252,2023-06-13,2023-06-13,On-Time,0
D000206,O000253,2023-11-15,2023-11-15,On-Time,0
D000207,O000254,2023-11-18,2023-11-18,On-Time,0
D000208,O000256,2023-03-14,2023-03-14,On-Time,0
D000209,O000257,2023-06-04,2023-06-04,On-Time,0
D000210,O000258,2023-12-01,2023-12-01,On-Time,0
D000211,O000259,2023-05-06,2023-05-06,On-Time,0
D000212,O000261,2023-10-06,2023-10-09,Delayed,3
D000213,O000262,2023-01-28,2023-01-28,On-Time,0
D000214,O000263,2023-06-15,2023-06-15,On-Time,0
D000215,O000265,2023-09-15,2023-09-15,On-Time,0
D000216,O000266,2023-11-18,2023-11-18,On-Time,0
D000217,O000267,2023-03-15,2023-03-15,On-Time,0
D000218,O000268,2023-06-30,2023-06-30,On-Time,0
D000219,O000270,2023-05-21,2023-05-21,On-Time,0
D000220,O000271,2023-07-26,2023-07-26,On-Time,0
D000221,O000272,2023-02-16,2023-02-16,On-Time,0
D000222,O000273,2023-02-19,2023-02-19,On-Time,0
D000223,O000274,2023-11-09,2023-11-09,On-Time,0
D000224,O000275,2023-04-17,2023-04-17,On-Time,0
D000225,O000276,2023-08-14,2023-08-17,Delayed,3
D000226,O000277,2023-06-08,2023-06-08,On-Time,0
D000227,O000278,2023-03-29,2023-04-01,Delayed,3
D000228,O000279,2023-03-16,2023-03-16,On-Time,0
D000229,O000281,2023-11-04,2023-11-04,On-Time,0
D000230,O000282,2023-04-02,2023-04-02,On-Time,0
D000231,O000283,2023-01-05,2023-01-05,On-Time,0
D000232,O000285,2023-05-13,2023-05-13,On-Time,0
D000233,O000286,2023-08-26,2023-08-30,Delayed,4
D000234,O000287,2023-06-06,2023-06-06,On-Time,0
D000235,O000288,2023-02-02,2023-02-03,Delayed,1
D000236,O000289,2023-01-22,2023-01-22,On-Time,0
D000237,O000290,2023-12-13,2023-12-13,On-Time,0
D000238,O000291,2023-12-25,2023-12-25,On-Time,0
D000239,O000292,2023-10-15,2023-10-15,On-Time,0
D000240,O000293,2023-08-23,2023-08-23,On-Time,0
D000241,O000294,2023-08-23,2023-08-23,On-Time,0
