inventory_id,product_id,warehouse_id,stock_available,reorder_level,last_restock_date
I0001,P001,W001,152,30,2026-05-04
I0002,P002,W001,485,97,2026-05-03
I0003,P003,W001,398,79,2026-04-27
I0004,P004,W001,320,64,2026-05-09
I0005,P005,W001,156,31,2026-04-20
I0006,P006,W001,101,20,2026-04-21
I0007,P007,W001,218,43,2026-04-13
I0008,P008,W001,50,10,2026-04-23
I0009,P009,W001,132,26,2026-05-08
I0010,P010,W001,151,30,2026-04-28
I0011,P011,W001,264,52,2026-04-25
I0012,P012,W001,380,76,2026-05-10
I0013,P013,W001,137,27,2026-04-26
I0014,P014,W001,422,84,2026-05-12
I0015,P015,W001,149,29,2026-04-30
I0016,P016,W001,389,77,2026-04-19
I0017,P017,W001,181,36,2026-04-24
I0018,P018,W001,160,32,2026-05-05
I0019,P019,W001,179,35,2026-04-17
I0020,P020,W001,338,67,2026-04-25
I0021,P021,W001,443,88,2026-04-29
I0022,P022,W001,591,118,2026-04-23
I0023,P023,W001,513,102,2026-05-08
I0024,P024,W001,485,97,2026-05-05
I0025,P025,W001,291,58,2026-04-26
I0026,P026,W001,306,61,2026-05-07
I0027,P027,W001,190,38,2026-05-03
I0028,P028,W001,343,68,2026-05-02
I0029,P029,W001,51,10,2026-05-07
I0030,P030,W001,282,56,2026-04-25
I0031,P001,W002,285,57,2026-05-08
I0032,P002,W002,394,78,2026-04-25
I0033,P003,W002,98,19,2026-04-18
I0034,P004,W002,108,21,2026-04-22
I0035,P005,W002,219,43,2026-04-13
I0036,P006,W002,217,43,2026-04-30
I0037,P007,W002,300,60,2026-04-17
I0038,P008,W002,219,43,2026-04-25
I0039,P009,W002,204,40,2026-05-07
I0040,P010,W002,80,16,2026-05-09
I0041,P011,W002,413,82,2026-05-08
I0042,P012,W002,104,20,2026-04-29
I0043,P013,W002,293,58,2026-05-03
I0044,P014,W002,369,73,2026-04-18
I0045,P015,W002,180,36,2026-04-21
I0046,P016,W002,336,67,2026-05-04
I0047,P017,W002,164,32,2026-04-27
I0048,P018,W002,50,10,2026-05-09
I0049,P019,W002,358,71,2026-05-08
I0050,P020,W002,196,39,2026-05-01
I0051,P021,W002,373,74,2026-05-03
I0052,P022,W002,487,97,2026-04-28
I0053,P023,W002,700,140,2026-04-15
I0054,P024,W002,415,83,2026-04-26
I0055,P025,W002,113,22,2026-04-19
I0056,P026,W002,271,54,2026-05-04
I0057,P027,W002,294,58,2026-04-14
I0058,P028,W002,375,75,2026-04-18
I0059,P029,W002,82,16,2026-05-05
I0060,P030,W002,369,73,2026-04-25
I0061,P001,W003,141,28,2026-04-27
I0062,P002,W003,416,83,2026-05-09
I0063,P003,W003,493,98,2026-05-03
I0064,P004,W003,477,95,2026-04-15
I0065,P005,W003,313,62,2026-04-29
I0066,P006,W003,64,12,2026-05-07
I0067,P007,W003,235,47,2026-04-29
I0068,P008,W003,110,22,2026-05-10
I0069,P009,W003,79,15,2026-04-22
I0070,P010,W003,389,77,2026-05-11
I0071,P011,W003,437,87,2026-04-27
I0072,P012,W003,51,10,2026-04-21
I0073,P013,W003,439,87,2026-05-12
I0074,P014,W003,103,20,2026-04-14
I0075,P015,W003,155,31,2026-05-12
I0076,P016,W003,289,57,2026-04-23
I0077,P017,W003,339,67,2026-04-26
I0078,P018,W003,220,44,2026-04-20
I0079,P019,W003,247,49,2026-04-17
I0080,P020,W003,73,14,2026-04-26
I0081,P021,W003,261,52,2026-05-08
I0082,P022,W003,301,60,2026-04-25
I0083,P023,W003,369,73,2026-05-06
I0084,P024,W003,370,74,2026-05-10
I0085,P025,W003,555,111,2026-04-15
I0086,P026,W003,244,48,2026-04-17
I0087,P027,W003,281,56,2026-04-30
I0088,P028,W003,219,43,2026-05-01
I0089,P029,W003,325,65,2026-04-27
I0090,P030,W003,242,48,2026-04-23
I0091,P001,W004,257,51,2026-04-20
I0092,P002,W004,286,57,2026-05-05
I0093,P003,W004,387,77,2026-05-03
I0094,P004,W004,416,83,2026-05-08
I0095,P005,W004,102,20,2026-04-28
I0096,P006,W004,309,61,2026-05-04
I0097,P007,W004,246,49,2026-04-16
I0098,P008,W004,281,56,2026-04-25
I0099,P009,W004,217,43,2026-04-30
I0100,P010,W004,70,14,2026-04-29
I0101,P011,W004,206,41,2026-05-02
I0102,P012,W004,64,12,2026-04-14
I0103,P013,W004,350,70,2026-04-16
I0104,P014,W004,114,22,2026-04-23
I0105,P015,W004,394,78,2026-04-17
I0106,P016,W004,356,71,2026-04-22
I0107,P017,W004,38,7,2026-04-22
I0108,P018,W004,373,74,2026-04-19
I0109,P019,W004,158,31,2026-04-16
I0110,P020,W004,165,33,2026-04-29
I0111,P021,W004,571,114,2026-05-10
I0112,P022,W004,162,32,2026-04-27
I0113,P023,W004,238,47,2026-04-25
I0114,P024,W004,598,119,2026-04-16
I0115,P025,W004,692,138,2026-05-03
I0116,P026,W004,192,38,2026-04-19
I0117,P027,W004,318,63,2026-04-21
I0118,P028,W004,290,58,2026-04-18
I0119,P029,W004,260,52,2026-04-15
