order_id,product_id,warehouse_id,quantity,order_date,order_amount,order_status
O000002,P010,W003,1,2023-04-09,25,Delivered
O000003,P026,W004,2,2023-07-11,360,Delivered
O000004,P010,W007,2,2023-12-21,50,Delivered
O000005,P019,W008,1,2023-04-18,199,Delivered
O000006,P009,W001,2,2023-07-11,120,Delivered
O000007,P006,W007,2,2023-11-21,40,Cancelled
O000008,P023,W004,2,2023-04-25,50,Delivered
O000009,P013,W004,4,2023-07-06,500,Delivered
O000010,P020,W004,2,2023-09-10,398,Cancelled
O000011,P016,W002,1,2023-11-13,179,Delivered
O000013,P025,W004,1,2023-12-24,150,Delivered
O000014,P008,W006,2,2023-03-04,60,Delivered
O000015,P020,W005,2,2023-12-14,398,Delivered
O000016,P018,W008,2,2023-02-20,90,Delivered
O000018,P025,W004,2,2023-01-01,300,Delivered
O000020,P019,W009,2,2023-04-29,398,Delivered
O000022,P021,W010,1,2023-01-04,280,Delivered
O000023,P017,W004,1,2023-01-01,89,Delivered
O000024,P020,W010,1,2023-03-01,199,Delivered
O000026,P017,W007,1,2023-01-15,89,Delivered
O000027,P009,W004,1,2023-12-26,60,Pending
O000028,P011,W009,4,2023-12-12,160,Delivered
O000029,P023,W006,2,2023-06-29,50,Delivered
O000030,P027,W004,2,2023-04-24,700,Delivered
O000031,P008,W008,2,2023-03-29,60,Delivered
O000032,P011,W009,4,2023-08-14,160,Delivered
O000033,P003,W008,4,2023-02-03,220,Delivered
O000034,P010,W004,2,2023-06-13,50,Delivered
O000035,P013,W003,2,2023-10-02,250,Delivered
O000038,P023,W004,1,2023-11-11,25,Delivered
O000039,P013,W006,1,2023-04-06,125,Pending
O000040,P021,W007,1,2023-07-17,280,Delivered
O000041,P026,W009,2,2023-03-03,360,Delivered
O000042,P016,W005,2,2023-06-25,358,Delivered
O000043,P005,W005,2,2023-03-23,70,Delivered
O000044,P013,W004,2,2023-07-12,250,Delivered
O000045,P022,W009,1,2023-01-27,320,Delivered
O000046,P022,W007,2,2023-06-30,640,Delivered
O000047,P027,W009,1,2023-06-28,350,Delivered
O000048,P021,W002,1,2023-12-25,280,Delivered
O000049,P020,W010,2,2023-11-03,398,Delivered
O000051,P011,W006,4,2023-07-05,160,Delivered
O000052,P006,W003,2,2023-08-17,40,Delivered
O000053,P008,W001,1,2023-07-26,30,Cancelled
O000055,P026,W002,2,2023-08-22,360,Delivered
O000056,P008,W003,1,2023-07-11,30,Delivered
O000057,P026,W010,1,2023-11-12,180,Delivered
O000058,P012,W004,4,2023-04-17,396,Delivered
O000059,P014,W006,1,2023-09-20,20,Delivered
O000060,P004,W010,2,2023-04-18,178,Delivered
O000061,P019,W009,2,2023-04-19,398,Delivered
O000062,P011,W008,2,2023-04-26,80,Cancelled
O000063,P022,W002,2,2023-10-19,640,Delivered
O000064,P007,W001,2,2023-07-25,40,Delivered
O000067,P030,W010,2,2023-09-24,440,Delivered
O000068,P014,W001,4,2023-08-17,80,Delivered
O000069,P011,W002,1,2023-08-20,40,Cancelled
O000070,P027,W004,1,2023-07-19,350,Delivered
O000071,P016,W005,1,2023-11-20,179,Delivered
O000072,P029,W006,1,2023-05-02,89,Delivered
O000073,P011,W006,2,2023-07-03,80,Delivered
O000074,P022,W002,1,2023-01-12,320,Delivered
O000075,P029,W008,2,2023-01-14,178,Delivered
O000076,P025,W008,2,2023-07-17,300,Cancelled
O000077,P015,W008,3,2023-10-22,897,Delivered
O000078,P002,W008,1,2023-06-09,45,Delivered
O000079,P004,W005,1,2023-03-02,89,Delivered
O000080,P006,W005,1,2023-10-04,20,Delivered
O000081,P013,W006,2,2023-09-25,250,Pending
O000082,P017,W006,2,2023-02-01,178,Delivered
O000083,P008,W008,1,2023-12-30,30,Delivered
O000084,P019,W001,1,2023-07-10,199,Delivered
O000085,P020,W002,1,2023-10-08,199,Delivered
O000086,P015,W006,3,2023-02-10,897,Pending
O000087,P030,W009,1,2023-03-17,220,Delivered
O000088,P019,W002,1,2023-12-28,199,Delivered
O000089,P016,W003,1,2023-02-10,179,Delivered
O000090,P005,W004,3,2023-05-27,105,Delivered
O000091,P014,W005,4,2023-11-07,80,Cancelled
O000092,P009,W005,1,2023-11-17,60,Delivered
O000093,P024,W010,2,2023-01-30,360,Cancelled
O000094,P023,W001,1,2023-01-21,25,Delivered
O000096,P002,W004,3,2023-01-05,135,Delivered
O000097,P030,W007,2,2023-12-31,440,Delivered
O000098,P010,W009,1,2023-11-23,25,Pending
O000100,P021,W010,2,2023-05-25,560,Delivered
O000101,P003,W003,1,2023-02-23,55,Pending
O000102,P029,W006,2,2023-06-05,178,Delivered
O000104,P018,W002,2,2023-01-21,90,Delivered
O000105,P016,W005,2,2023-09-21,358,Delivered
O000106,P018,W006,1,2023-08-16,45,Delivered
O000107,P021,W008,2,2023-02-14,560,Delivered
O000108,P007,W001,1,2023-12-17,20,Delivered
O000109,P019,W001,2,2023-01-03,398,Delivered
O000110,P003,W007,4,2023-02-28,220,Delivered
O000113,P015,W006,1,2023-12-30,299,Cancelled
O000114,P018,W005,2,2023-10-05,90,Delivered
O000115,P022,W005,2,2023-07-14,640,Delivered
O000116,P006,W002,1,2023-12-09,20,Delivered
O000117,P016,W008,1,2023-04-14,179,Delivered
O000119,P020,W004,1,2023-08-04,199,Cancelled
O000120,P007,W005,2,2023-11-24,40,Delivered
O000122,P028,W010,2,2023-07-21,260,Delivered
O000125,P013,W002,2,2023-10-17,250,Delivered
O000126,P012,W003,3,2023-08-25,297,Delivered
O000127,P005,W008,1,2023-10-23,35,Delivered
O000128,P016,W003,2,2023-02-25,358,Delivered
O000129,P016,W004,2,2023-04-19,358,Delivered
